"","Author","Isbn","Ean","Title","Pub.Date","Medium","Ans.Code","Available","Consignment.On.Hand","Reserved.Stock","Sets.Made.Up","Fcst"
"143","MOORE.DAVID","1464133611","9781464133619","SSG.SM.INTRO.PRACT.STATS.8E",2014-04-25,"SG","OS",0,1,0,0,84.1875178968662
"144","MOHRIG.JERRY.R.","1464134227","9781464134227","LAB.TECHNIQUES.ORGANIC.CHEMISTRY.4E",2014-03-01,"PT","AS",1111,202,0,153,2801.74612570109
"145","DOMOSH.MONA","1464134596","9781464134593","LL.CONTEMP.HUMAN.GEO.1E",2014-12-29,"LL","AS",170,0,0,53,0
"146","KARAJATAS.ANDREW","1464135126","9781464135125","CP.SOUTHERN.CT.ST.ORGCHEM.FALL12LM",2012-06-30,"CU","AS",40,0,0,0,70.5698830748618
"147","COSTANZO.MARK","1464138907","9781464138904","FORENSIC..LEGAL.PSYCHOLOGY.2E",2014-11-07,"CT","AS",814,69,0,0,1404.33919974199
"148","BERGER.KATHLEEN.STASSEN","1464139792","9781464139796","LL.DEV.PERS.THRU.LIFESPAN.9E",2014-05-12,"LL","AS",1835,0,0,398,3182.39717569981
"149","GRAY.PETER.O.","1464141959","9781464141959","PSYCHOLOGY.7E",2014-04-30,"CT","AS",58,1890,0,5,1136.67496718699
"150","CHIANG.ERIC","1464143277","9781464143274","COREMACROECONOMICS.LL.3E",2013-12-09,"LL","AS",12,10,0,264,901.205751609119
"151","CHIANG.ERIC","1464143307","9781464143304","COREMICROECON.LL.3E",2013-10-25,"LL","AS",16,0,0,287,693.5800022693
"152","KRUGMAN.PAUL","1464143846","9781464143847","ECONOMICS.4E",2015-03-30,"CT","AS",267,261,0,291,0
"153","KRUGMAN.PAUL","1464143870","9781464143878","MICROECONOMICS.4E.P",2014-12-30,"PT","AS",5312,1658,0,363,0
"154","KRUGMAN.PAUL","1464144745","9781464144745","LL.ECONOMICS.4E",2015-03-30,"LL","AS",5,0,0,10,0
"155","KRUGMAN.PAUL","146414477X","9781464144776","LL.MACROECONOMICS.4E",2015-04-17,"LL","AS",2522,0,0,988,0
"156","KRUGMAN.PAUL","146414480X","9781464144806","LL.MICROECONOMICS.4E",2014-12-30,"LL","AS",2663,0,0,986,0
"157","GUINN.DENISE","1464150281","9781464150289","ESS.GOB.2E.LL",2014-01-15,"LL","AS",275,0,0,161,324.466199969648
"158","PIERCE.BENJAMIN.A.","1464150850","9781464150852","LL.GENETICS.5E",2013-12-26,"LL","AS",871,0,0,474,549.174126783301
"159","SULLIVAN.MICHAEL","1464152780","9781464152788","CALC.COMBO.1E.LL",2014-03-14,"LL","AS",303,0,0,245,699.255276090931
"160","KRUGMAN.PAUL","1464153264","9781464153266","LL.ECONOMICS.IN.MODULES.3E",2014-05-16,"LL","AS",6,0,0,24,250.945992913264
"161","STARNES.DAREN.S.","1464153973","9781464153976","EXAMVIEW.ASSESS.AP.PRACT.STAT.5E",2014-07-15,"CO","OS",0,4,0,0,352.988966680987
"162","HOCKENBURY.SANDRA.E.","1464155208","9781464155208","LL.PSYCHOLOGY.7E",2014-12-29,"LL","AS",890,0,0,287,0
"163","KOKOSKA.STEPHEN","1464157529","9781464157523","LL.INTRODUCTORY.STATS.2E",2014-12-17,"LL","AS",1,0,0,32,0
"164","WARD.MARK","1464157634","9781464157639","SSM.INTRODUCTION.PROBABILITY",2015-08-24,"SM","AS",525,0,0,0,0
"165","KARR.SUSAN","1464162204","9781464162206","SCI.AM.ENV.SCI.CHANG.WORLD.2E.P",2015-01-07,"PT","AS",960,240,0,60,0
"166","MYERS.DAVID.G.","1464163367","9781464163364","EXP.PSYCH.DSM5.UPDATE.9E",2014-02-05,"PT","AS",1274,29,299,855,5116.96721994324
"167","MYERS.DAVID.G.","1464163383","9781464163388","EXP.PSYCH.9E.LL.DSM5.UPDATE",2014-02-05,"LL","AS",2415,0,0,1109,791.836690602055
"168","MYERS.DAVID.G.","1464163421","9781464163425","MOD.EXP.PSYCH.9E.P.DSM5.UPDATE",2014-02-05,"PT","AS",134,0,0,168,198.188326256076
"169","HOCKENBURY.DON","1464163472","9781464163470","DISCO.PSYCH.6E.LL.DSM5.UPDATE",2014-03-28,"LL","AS",766,0,0,1098,2190.55367354029
"170","HOCKENBURY.DON","1464163499","9781464163494","DISCO.PSYCH.6E.P.DSM5.UPDATE",2014-03-28,"PT","AS",1048,3,0,301,2707.70119938249
"171","MYERS.DAVID.G.","1464170045","9781464170041","LL.PSYCHOLOGY.11E",2015-01-12,"LL","AS",5523,0,0,824,0
"172","COMER.RONALD.J.","146417170X","9781464171703","ABNORMAL.PSYCHOLOGY.9E",2015-02-13,"CT","AS",2509,1564,0,119,0
"173","ROGAWSKI.JON","1464171750","9781464171758","CALC.ET.3E.MV",2014-12-26,"CT","AS",38,10,0,0,0
"174","MORRIS.JAMES.R.","146417315X","9781464173158","CP.NJIT.BIO.HOW.LIFE.WORKS",2013-07-15,"CU","AS",37,0,0,0,95.5740659106925
"175","BALDI.BRIGITTE","1464175349","9781464175343","PSLS.3E.LL.CRUNCHIT.EESEE.ACS",2013-12-27,"PK","AS",989,0,0,0,173.88465632084
"176","BALDI.BRIGITTE","1464175365","9781464175367","PSLS.3E.C.CRUNCHIT.EESEE.ACS",2013-12-27,"PK","AS",829,822,0,0,709.176781692393
"177","COMER.RONALD.J.","1464176019","9781464176012","LL.ABNORMAL.PSYCHOLOGY.9E",2015-02-10,"LL","AS",3752,0,0,195,0
"178","BERGER.KATHLEEN.STASSEN","1464177503","9781464177507","LL.INV.LIFESPAN.2E.DSM5.UPD",2014-01-24,"LL","AS",429,0,0,565,3543.60390974673
"179","COMINS.NEIL.F.","1464181705","9781464181702","DISCOVERING.ESSENTIAL.UNIVERSE.6E",2014-12-22,"PT","AS",1155,15,0,16,0
"180","COMINS.NEIL.F.","1464181713","9781464181719","LL.DISCOVERING.ESSENTIAL.UNIV.6E",2014-12-22,"LL","AS",353,0,0,12,0
"181","MOORE.DAVID.S.","1464184879","9781464184871","CP.VANIER.COLLEGE.SCC.8E.LL",2013-11-15,"CU","NAB",0,0,0,464,120.744447763346
"182","KARAJATAS.ANDREW","1464186448","9781464186448","CP.SOUTH.CONN.ST.CHEM.125.SPR.14.LM",2013-11-15,"CU","AS",149,0,0,0,0
"183","PIERCE.BENJAMIN.A.","1464190755","9781464190759","GENETIC.ESSENTIALS.3E",2015-07-06,"PT","AS",715,318,0,4,0
"184","COMAP.CONSORTIUM.FOR.MAT","1464195757","9781464195754","CP.IU.BLOOMINGTON.FAPP.9E",2014-11-21,"CU","AS",97,0,0,38,0
"185","LICHT.DEBORAH","146419873X","9781464198731","CP.MESSA.CC.SCI.AM.PSYCHOLOGY.1E.LL",2014-05-13,"CU","AS",193,0,0,36,179.20257732177
