"","Author","Isbn","Ean","Title","Pub.Date","Medium","Ans.Code","Available","Consignment.On.Hand","Reserved.Stock","Sets.Made.Up","Prev.Edition.Isbn","Prev.Edition.Ean","Review","OQ.3","OQ.6","OQ.9","OQ.12","OQ.15"
"256","PALMQUIST.MIKE","312675127","9780312675127","BEDFORD.RESEARCHER.4E",2011-09-13,"SP","OP",0,0,0,8,"312667752","9780312667757","Print review",164,328,492,656,820
"257","CORRIGAN.TIMOTHY","312681704","9780312681708","FILM.EXPERIENCE.3E",2012-01-03,"PT","NR",0,2,0,30,"312445857","9780312445850","Print review",-307,-814,-177,-244,-551
"258","MOORE.DAVID.S.","1429201258","9781429201254","STATS.CONCEPTS..CONTRO.7E.PAPER",2008-10-17,"PT","NR",0,0,0,0,"716786362","9780716786368","Print review",0,0,0,0,0
"259","LIGHTFOOT.CYNTHIA","1429202254","9781429202251","DEV.OF.CHILD.6E",2008-12-08,"CT","NR",0,0,0,8,"716755556","9780716755555","Print review",94,188,282,375,469
"260","COSTANZO.MARK","1429205784","9781429205788","FORENSIC.AND.LEGAL.PSYCHOLOGY",2010-12-24,"CT","NR",0,0,0,0,"",NA,"Print review",-649,-1056,-1159,-683,-1332
"261","NELSON.DAVID.L.","1429212411","9781429212410","SG.SM.PRIN.BIOCHEM.5E",2008-04-04,"PT","NR",0,0,0,0,"716759551","9780716759553","Print review",34,-54,-262,-591,-1041
"262","STRAUB.RICHARD.O.","1429216328","9781429216326","HEALTH.PSYCHOLOGY.3E",2011-02-11,"CT","NR",0,1300,0,0,"716764504","9780716764502","Print review",130,259,389,518,648
"263","COMER.RONALD.J.","1429216336","9781429216333","FUNDAMENTALS.OF.ABNORM.PSYCH.6E",2010-01-22,"PT","NR",0,217,0,0,"716773767","9780716773764","Print review",112,225,337,450,562
"264","RAYNER.CANHAM.GEOFF","1429218142","9781429218146","DESC.INORGANIC.CHEM.5E",2009-12-28,"CT","NR",0,70,0,0,"716789639","9780716789635","Print review",9,18,27,36,45
"265","SHRIVER.DUWARD","1429218207","9781429218207","INORGANIC.CHEMISTRY.5E",2009-12-18,"PT","NR",0,0,0,0,"716748789","9780716748786","Print review",850,1376,1856,1795,2646
